t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
124,0.99,0.2014354158720677,0.01,1.9942106171334704,0.1855154978423331,0.0,0.0,0.0,1.0,19.729171801477612,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,124
125,0.99,0.2162604874392363,0.01,2.1409788256484394,0.1858188532043403,0.0,0.0,0.0,1.0,19.609171801477615,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,125
126,0.99,0.2392888809610081,0.01,2.36895992151398,0.1860821182152971,0.0,0.0,0.0,1.0,19.489171801477614,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,126
127,0.108189662350843,0.2500672641563637,0.01,0.27054692874076053,0.1867316426176606,0.0,0.0,0.0,1.0,19.369171801477613,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,127
128,0.4698600470253931,0.258161976255814,0.01,1.2129999830372518,0.1876107803435658,0.0,0.0,0.0,1.0,19.249171801477615,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,128
129,0.99,0.2604669699948304,0.01,2.57862300294882,0.1881033864559386,0.0,0.0,0.0,1.0,19.129171801477618,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,129
130,0.8433014021536871,0.2559734799716363,0.01,2.1586279457423965,0.1886638616010902,0.0,0.0,0.0,1.0,19.009171801477617,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,130
131,0.99,0.2611056689760643,0.01,2.5849461228630366,0.1890691246236487,0.0,0.0,0.0,1.0,18.889171801477616,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,131
132,0.8833728960926801,0.2638248254415282,0.01,2.3305570011142853,0.1895249009810218,0.0,0.0,0.0,1.0,18.76917180147762,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,132
133,0.99,0.2747698492366541,0.01,2.7202215074428757,0.1897311096751524,0.0,0.0,0.0,1.0,18.64917180147762,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,133
134,0.2741254147236511,0.2765959258084142,0.01,0.7582197287310377,0.1902517079471002,0.0,0.0,0.0,1.0,18.52917180147762,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,134
135,0.9536820667062574,0.270307129125493,0.01,2.577870615498353,0.190792367364305,0.0,0.0,0.0,1.0,18.40917180147762,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,135
136,0.99,0.2685389740268141,0.01,2.6585358428654593,0.1912449229664247,0.0,0.0,0.0,1.0,18.28917180147762,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,136
137,0.826692420394807,0.26400945169495,0.01,2.182546126288041,0.1917725412555289,0.0,0.0,0.0,1.0,18.169171801477624,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,137
138,0.99,0.2733660452182838,0.01,2.7063238476610096,0.1922181995681579,0.0,0.0,0.0,1.0,18.049171801477623,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,138
139,0.2992526148716485,0.2722720979495461,0.01,0.8147813726799128,0.1929673644079967,0.0,0.0,0.0,1.0,17.929171801477622,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,139
140,0.99,0.2758528598451268,0.01,2.7309433124667555,0.1934649974366398,0.0,0.0,0.0,1.0,17.809171801477625,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,140
141,0.8578436507826972,0.2693829518357871,0.01,2.3108845486143106,0.1940242009838284,0.0,0.0,0.0,1.0,17.689171801477627,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,141
142,0.7102385102330842,0.2454774932682725,0.01,1.743475691146098,0.1947089055394327,0.0,0.0,0.0,1.0,17.569171801477626,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,142
143,0.99,0.2153586649449385,0.01,2.132050782954891,0.1952569174452161,0.0,0.0,0.0,1.0,17.449171801477625,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,143
144,0.909622413060628,0.1953818124345343,0.01,1.7772367569486012,0.1958440735392358,0.0,0.0,0.0,1.0,17.329171801477628,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,144
145,0.99,0.185531560858648,0.01,1.8367624525006152,0.1960340709851,0.0,0.0,0.0,1.0,17.20917180147763,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,145
146,0.3478142795945604,0.1849206536377401,0.01,0.6431804392716579,0.1965065420117393,0.0,0.0,0.0,1.0,17.08917180147763,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,146
147,0.1058091557461451,0.16706308155972,0.01,0.17676803616183356,0.1973663034707968,0.020598267308963247,0.020598267308963247,0.0,0.8601674761590168,16.985951704338547,real,-0.10322009713908287,-0.04634210756667259,0,1000.0,0.9,True,147
148,0.99,0.145970666466679,0.01,1.445109598020122,0.1979549174100605,0.0,0.0,0.0,1.0,16.86595170433855,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,148
149,0.7366141131829427,0.1264104976580791,0.01,0.9311575662942039,0.1986576086010135,0.0,0.0,0.0,1.0,16.745951704338548,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,149
150,0.99,0.1194611081265899,0.01,1.1826649704532401,0.1991742335813581,0.0,0.0,0.0,1.0,16.625951704338547,real,-0.11999999999999922,-0.04634210756667259,0,1000.0,0.9,True,150
