t,O,R,I,demand,cases,deaths,popData2019,S
2020-08-09,4.1376230191688865,-0.04245781370450352,0.013255208590356338,70.6733584,304,2,11455519.0,70.6733584
2020-08-10,4.177247843639438,-0.03962482447055127,0.013255208590356338,71.32806466,122,5,11455519.0,71.32806466
2020-08-11,4.213901067109208,-0.03665322346977007,0.013255208590356338,70.78684082,873,11,11455519.0,70.78684082
2020-08-12,4.247632562100998,-0.03373149499179018,0.013255208590356338,73.21361869,718,13,11455519.0,73.21361869
2020-08-13,4.268347337594848,-0.020714775493850368,0.013255208590356338,73.50168945,609,11,11455519.0,73.50168945
2020-08-14,4.283228646302929,-0.014881308708080354,0.013255208590356338,72.68112427,669,12,11455519.0,72.68112427
2020-08-15,4.2926164817459584,0.004659552650726706,0.014892349862787757,72.97792444,587,12,11455519.0,72.97792444
2020-08-16,4.295492993709947,0.047972778282961315,0.015804156292559268,72.13117101,163,9,11455519.0,72.13117101
2020-08-17,4.2945588941120105,0.05980477250480787,0.016732129218774316,70.85667616,132,7,11455519.0,70.85667616
2020-08-18,4.294419852870144,0.06476766409278989,0.0177972994973421,70.71700549,707,7,11455519.0,70.71700549
2020-08-19,4.288010436320535,0.07295020426700294,0.01893474576490073,69.95754623,725,11,11455519.0,69.95754623
2020-08-20,4.2794747960457,0.07708914924942478,0.019599290170148054,69.18062813,612,9,11455519.0,69.18062813
2020-08-21,4.269577023948043,0.08594499045425685,0.022160458853698772,67.74900378,581,4,11455519.0,67.74900378
2020-08-22,4.255653401858484,0.09311348105630479,0.028668818602668678,66.10787342,510,3,11455519.0,66.10787342
2020-08-23,4.23843997148692,0.09849745021015632,0.03277091589773873,63.82949563,203,5,11455519.0,63.82949563
2020-08-24,4.221781969069058,0.10016101294168767,0.037861753346670524,62.94782454,115,3,11455519.0,62.94782454
2020-08-25,4.205265340266406,0.09763869192208396,0.04106919614240878,62.88671862,607,5,11455519.0,62.88671862
2020-08-26,4.184980596699844,0.10391022775274283,0.04220521386570186,60.56469375,527,5,11455519.0,60.56469375
2020-08-27,4.162346362853319,0.10798943271652028,0.05017443785366171,58.89737514,526,4,11455519.0,58.89737514
2020-08-28,4.140917833976322,0.10055581665729463,0.061329245679331734,58.17283355,535,3,11455519.0,58.17283355
2020-08-29,4.120088539491329,0.09556975069391171,0.06598468918188649,57.0030917,614,4,11455519.0,57.0030917
2020-08-30,4.104772950742992,0.08637660294598781,0.06901378219920762,57.23878595,195,6,11455519.0,57.23878595
2020-08-31,4.09209710290537,0.08101177328612374,0.049625337551008064,57.51812729,117,1,11455519.0,57.51812729
2020-09-01,4.079237810787851,0.07705640728613039,0.03994680390621985,57.38718604,634,3,11455519.0,57.38718604
2020-09-02,4.070099772724403,0.07017153501131368,0.03288881524743936,56.74993861,565,3,11455519.0,56.74993861
2020-09-03,4.061386474120573,0.0649674434620966,0.031759742339216857,55.35323192,574,2,11455519.0,55.35323192
2020-09-04,4.05356836742442,0.03684603999150049,0.030825705109327917,55.02151408,677,4,11455519.0,55.02151408
2020-09-05,4.050723748628786,0.00438969379448384,0.030825705109327917,55.8595381,728,2,11455519.0,55.8595381
2020-09-06,4.052002777991242,-0.0006395146812270269,0.030825705109327917,57.76255096,322,1,11455519.0,57.76255096
2020-09-07,4.055101590504853,-0.0015494062568057743,0.030825705109327917,58.80135156,155,2,11455519.0,58.80135156
2020-09-08,4.059352129879899,-0.001358658147307068,0.030825705109327917,59.15052823,918,4,11455519.0,59.15052823
2020-09-09,4.071476883915289,-0.008982312227529654,0.030825705109327917,61.86537685,871,3,11455519.0,61.86537685
2020-09-10,4.093765118692482,-0.01691441335494126,0.030825705109327917,64.86829623,1024,2,11455519.0,64.86829623
2020-09-11,4.126027110078317,-0.027216786488476252,0.030825705109327917,69.2155458,1143,3,11455519.0,69.2155458
2020-09-12,4.166577635242216,-0.03598150613217577,0.030825705109327917,74.52303121,1284,5,11455519.0,74.52303121
2020-09-13,4.213080961026312,-0.03619321628905414,0.030825705109327917,80.37174047,617,1,11455519.0,80.37174047
2020-09-14,4.26340615555008,-0.04306154057145406,0.030825705109327917,84.05555436,301,1,11455519.0,84.05555436
2020-09-15,4.315572238757234,-0.050632031927647425,0.031759742339216857,85.66176705,1727,4,11455519.0,85.66176705
2020-09-16,4.376352978962608,-0.055276824180118034,0.03278892556278601,95.20301961,1628,3,11455519.0,95.20301961
2020-09-17,4.4436225189269125,-0.05480787295083189,0.03466353296831359,104.48238967,1942,2,11455519.0,104.48238967
2020-09-18,4.517083026585712,-0.06283342799113711,0.05059766566926083,116.42423185,1752,1,11455519.0,116.42423185
2020-09-19,4.59111720821626,-0.06526694179176928,0.06450326551285546,125.80835491,1709,6,11455519.0,125.80835491
2020-09-20,4.663831187663044,-0.06526861749778146,0.06390043572661686,134.37191279,894,8,11455519.0,134.37191279
2020-09-21,4.735394407771536,-0.05920154826627577,0.060018401714439396,139.3651392,461,3,11455519.0,139.3651392
2020-09-22,4.806978110958991,-0.05875380255450757,0.05752364320833525,142.03634074,2204,3,11455519.0,142.03634074
