t,O,R,I,Cap,demand,demande_env,Sigma,S,V,C,perturb_symbolic,intervention,delta_C,threshold_value,threshold_hit
89,0.5973907047724498,0.691059671979567,0.7332201550052672,302.69720091516353,280.2942595709024,280.2942595709024,0.0,0.1300597024089101,1.0,-5.674651386610406,0.0,none,-0.06797611903643563,-0.030783209563645837,0
90,0.5971389360452417,0.691499181906614,0.7302201769791539,301.52330832199704,275.01828203115804,275.01828203115804,0.0,0.12979958300409228,1.0,-5.742731553408769,0.0,none,-0.06808016679836282,-0.030783209563645837,0
91,0.5962491391394933,0.6921991526220225,0.7311389889662382,301.7579857833635,270.6271238101586,270.6271238101586,0.0,0.1295399838380841,1.0,-5.810915559873535,0.0,none,-0.06818400646476608,-0.030783209563645837,0
92,0.5968827413837211,0.6921719385609558,0.7326573879684952,302.69409130286164,276.5252970704572,276.5252970704572,0.0,0.12928090387040794,1.0,-5.879203198325372,0.0,none,-0.06828763845183694,-0.030783209563645837,0
93,0.5957883086456467,0.6909961347987507,0.7361448655244764,303.0615792800578,271.9240996880794,271.9240996880794,0.0,0.12902234206266713,1.0,-5.947594261500305,0.0,none,-0.06839106317493293,-0.030783209563645837,0
94,0.5977719241707777,0.6917829062593182,0.7350166405434841,303.95025458987294,267.4086581717193,267.4086581717193,0.0,0.1287642973785418,1.0,-6.016088542548888,0.0,none,-0.0684942810485838,-0.030783209563645837,0
95,0.5980121755497664,0.6922962151007449,0.7362453679824043,304.8067350967996,263.8994758632845,263.8994758632845,0.0,0.12850676878378473,1.0,-6.0846858350353745,0.0,none,-0.06859729248648616,-0.030783209563645837,0
96,0.5968228089849141,0.6921064826939164,0.7394468669026995,305.4395721004104,255.43153270766916,255.43153270766916,0.0,0.12824975524621715,1.0,-6.153385932936888,0.0,none,-0.06870009790151332,-0.030783209563645837,0
97,0.59770103228113,0.6910263909766895,0.7403096215883858,305.76800067675424,271.1295526322711,271.1295526322711,0.0,0.1279932557357247,1.0,-6.222188630642598,0.0,none,-0.0688026977057099,-0.030783209563645837,0
98,0.5984301344082688,0.6941556670580626,0.7410180145952999,307.8216021601087,280.6415082901775,280.6415082901775,0.0,0.12773726922425324,1.0,-6.291093722952897,0.0,none,-0.06890509231029895,-0.030783209563645837,0
99,0.5991758501851385,0.6926550400170564,0.7421040502990217,307.98963516668067,275.4581199402315,275.4581199402315,0.0,0.12748179468580473,1.0,-6.360101005078575,0.0,none,-0.06900728212567842,-0.030783209563645837,0
100,0.5975524228968214,0.6925779441646331,0.7416494733521258,306.93284238262964,282.48378591629904,282.48378591629904,0.0,0.12722683109643312,1.0,-6.4292102726400016,0.0,none,-0.06910926756142644,-0.030783209563645837,0
101,0.5974667444468263,0.6915190600496447,0.7445614165035691,307.62272794027234,285.0698197213414,285.0698197213414,0.0,0.12697237743424025,1.0,-6.498421321666306,0.0,none,-0.06921104902630404,-0.030783209563645837,0
102,0.6000062033226949,0.6927343947736739,0.7443420185146998,309.38198924769256,274.9429716464998,274.9429716464998,0.0,0.12671843267937177,1.0,-6.567733948594557,0.0,none,-0.06931262692825158,-0.030783209563645837,0
103,0.5994475233325907,0.6946297759932986,0.7445658250751893,310.03281576836923,266.61682323597,266.61682323597,0.0,0.12646499581401302,1.0,-6.637147950268952,0.0,none,-0.06941400167439493,-0.030783209563645837,0
104,0.5993693577371566,0.6917975675808962,0.744897556743314,308.86600920113153,267.9402961931624,267.9402961931624,0.0,0.126212065822385,1.0,-6.7066631239399985,0.0,none,-0.06951517367104643,-0.030783209563645837,0
105,0.5968414854807281,0.6920347264887395,0.7447411280916966,307.60417728304293,263.0423088611238,263.0423088611238,0.0,0.12595964169074023,1.0,-6.776279267263702,0.0,none,-0.06961614332370392,-0.030783209563645837,0
106,0.5983379329168709,0.696360919865708,0.7417783766031144,309.06875037364125,293.3482596544409,293.3482596544409,0.0,0.12570772240735875,1.0,-6.8459961783007595,0.0,none,-0.06971691103705702,-0.030783209563645837,0
107,0.5969623540684145,0.6953727386273785,0.741420602161239,307.77210486115166,264.98486204261116,264.98486204261116,0.0,0.12545630696254403,1.0,-6.915813655515742,0.0,none,-0.06981747721498266,-0.030783209563645837,0
108,0.599560608497291,0.6963581258842532,0.7399176937576126,308.92222365966387,275.7189284439597,275.7189284439597,0.0,0.12520539434861894,1.0,-6.985731497776294,0.0,none,-0.0699178422605522,-0.030783209563645837,0
109,0.5965278896213587,0.695662610403874,0.7417901200604926,307.8296580352476,262.79023150398876,262.79023150398876,0.0,0.1249549835599217,1.0,-7.055749504352326,0.0,none,-0.07001800657603141,-0.030783209563645837,0
110,0.5956554089634563,0.6959561938751696,0.7438865987521884,308.37824253945934,288.77523126590467,288.77523126590467,0.0,0.12470507359280185,1.0,-7.125867474915205,0.0,none,-0.0701179705628796,-0.030783209563645837,0
111,0.5947409030517828,0.6944755801220179,0.7447873980744136,307.62179846525,273.84250112413935,273.84250112413935,0.0,0.12445566344561625,1.0,-7.1960852095369585,0.0,none,-0.07021773462175318,-0.030783209563645837,0
112,0.5941208643049959,0.696635947479904,0.7481668738150842,309.6557582422626,280.91302287499013,280.91302287499013,0.0,0.12420675211872502,1.0,-7.266402508689469,0.0,none,-0.07031729915251006,-0.030783209563645837,0
113,0.5937364347555337,0.6977784714098566,0.7443918421562254,308.39893622146354,277.40708682275573,277.40708682275573,0.0,0.12395833861448757,1.0,-7.336819173243674,0.0,none,-0.07041666455420525,-0.030783209563645837,0
114,0.5916152810646246,0.702557327087137,0.7458322420111809,310.00043575150823,280.18365946526916,280.18365946526916,0.0,0.12371042193725859,1.0,-7.407335004468771,0.0,none,-0.07051583122509708,-0.030783209563645837,0
115,0.5912265518061124,0.6975274150060214,0.747257851059751,308.1666930215347,290.907189211842,290.907189211842,0.0,0.12346300109338407,1.0,-7.477949804031417,0.0,none,-0.07061479956264627,-0.030783209563645837,0
116,0.5897689120119491,0.698894224027796,0.7487029373728705,308.6049334195073,264.84492452355573,264.84492452355573,0.0,0.1232160750911973,1.0,-7.5486633739949385,0.0,none,-0.0707135699635213,-0.030783209563645837,0
117,0.5916403927063137,0.7016037861792109,0.7491598976094936,310.9741305852258,279.3462224481554,279.3462224481554,0.0,0.1229696429410149,1.0,-7.619475516818532,0.0,none,-0.07081214282359394,-0.030783209563645837,0
118,0.5932163196871016,0.6985222782284617,0.7493464590152124,310.510300407865,288.29863938949984,288.29863938949984,0.0,0.12272370365513287,1.0,-7.69038603535648,0.0,none,-0.07091051853794728,-0.030783209563645837,0
119,0.5907314490240947,0.7005074206467682,0.7485099996973388,309.74224308501283,261.3659785582525,261.3659785582525,0.0,0.1224782562478226,1.0,-7.761394732857351,0.0,none,-0.07100869750087124,-0.030783209563645837,0
120,0.5905199531156351,0.6985636274275736,0.7491485189784044,309.03557104642493,268.35171457461155,268.35171457461155,0.0,0.12223329973532696,1.0,-7.832501412963221,0.0,none,-0.07110668010586974,-0.030783209563645837,0
121,0.5926205049329802,0.6970859667838364,0.7498612339687232,309.7732529332398,273.82795196005355,273.82795196005355,0.0,0.1219888331358563,1.0,-7.903705879708879,0.0,none,-0.07120446674565795,-0.030783209563645837,0
122,0.591974694308664,0.6994694868731349,0.7502917908611829,310.6719980795462,276.29121222650423,276.29121222650423,0.0,0.12174485546958459,1.0,-7.9750079375210445,0.0,none,-0.07130205781216592,-0.030783209563645837,0
123,0.5894716782795493,0.701789389420937,0.7517574131997568,310.99074231093414,277.1498304854359,277.1498304854359,0.0,0.12150136575864542,1.0,-8.046407391217587,0.0,none,-0.0713994536965421,-0.030783209563645837,0
124,0.5899583003238982,0.6997302343170071,0.7497277234293513,309.49634584914526,271.6427551917272,271.6427551917272,0.0,0.12125836302712813,1.0,-8.117904046006736,0.0,none,-0.0714966547891489,-0.030783209563645837,0
125,0.590665154759848,0.700321926105204,0.7482371175676059,309.5125926781228,284.72679766932004,284.72679766932004,0.0,0.12101584630107387,1.0,-8.189497707486305,0.0,none,-0.0715936614795698,-0.030783209563645837,0
126,0.5922345418416516,0.7006677424337938,0.7503138947031166,311.3499832004489,277.7992869378371,277.7992869378371,0.0,0.12077381460847172,1.0,-8.261188181642916,0.0,none,-0.07169047415661112,-0.030783209563645837,0
127,0.5920084995710878,0.7016134597836471,0.7502458066845615,311.6229472467031,287.14037713906254,287.14037713906254,0.0,0.12053226697925479,1.0,-8.332975274851213,0.0,none,-0.07178709320829668,-0.030783209563645837,0
