date,O,R,I,demand,S,inflation_yoy_pct
1984-11-01,0.8605631210878872,0.8775005126669009,0.9252929087117331,4.1543,0.6404113580572678,4.1543
1984-12-01,0.8600008578908694,0.9318754313568278,0.9494048577030675,4.04339,0.6275440285078513,4.04339
1985-01-01,0.859599457376668,0.9303435792647483,0.9577838460165963,3.52595,0.565367471558622,3.52595
1985-02-01,0.8599959870050109,0.9646379842327577,0.9729016798940423,3.60624,0.5752050490193401,3.60624
1985-03-01,0.8602337749687431,0.966253584639906,1.0,3.79009,0.5974965881231841,3.79009
1985-04-01,0.8603987543785719,0.9800370731528598,0.9698188445711401,3.5818,0.5722164535417968,3.5818
1985-05-01,0.8609052179320396,1.0,0.9673077606493892,3.57488,0.5713692873543708,3.57488
1985-06-01,0.8742593094263507,0.9940559050322093,0.9753361451086968,3.66442,0.5822970065231644,3.66442
1985-07-01,0.8915908043500713,0.9740336970992635,0.9246900911462838,3.45821,0.5570270264973507,3.45821
1985-08-01,0.9080186685792099,0.9641959203418253,0.8959411612542264,3.35249,0.5439475495195399,3.35249
1985-09-01,0.9169561527554534,0.9544122089523429,0.8707642541024,3.24737,0.5308818908238138,3.24737
1985-10-01,0.9268393894252883,0.9549040977902148,0.864238182456222,3.23501,0.5293424957410581,3.23501
1985-11-01,0.9317629371820727,0.9371801980480154,0.9173248143825992,3.51377,0.5638704022199803,3.51377
1985-12-01,0.931779538488277,0.9194987025159775,0.9730967854541889,3.79147,0.5976625181006123,3.79147
1986-01-01,0.9332088911686386,0.9550546327362877,0.9973240393194813,3.97351,0.6193416958879205,3.97351
1986-02-01,0.9346968693677467,0.8814059404227631,0.8691000790370114,3.19849,0.5247909050266655,3.19849
1986-03-01,0.916508026114534,0.7901223972083782,0.6820423301693185,2.15356,0.3957464897452083,2.15356
1986-04-01,0.881610478892072,0.7523317651125635,0.5933772363828294,1.58879,0.330570700805515,1.58879
1986-05-01,0.8575084806462737,0.7434915473991717,0.6337634174428658,1.6791,0.34063853253646587,1.6791
1986-06-01,0.8419497290623051,0.7436187600296558,0.6729409488654956,1.76744,0.3506279794229186,1.76744
1986-07-01,0.8287722038544282,0.7552883986660652,0.6757058374880212,1.67131,0.33976424404507605,1.67131
1986-08-01,0.8178581813711177,0.7563421432885754,0.6792349035105034,1.57553,0.3291051751083087,1.57553
1986-09-01,0.8140502546941406,0.7481814530430193,0.7369764359040721,1.75763,0.34951198967493424,1.75763
1986-10-01,0.8102051160906643,0.7292638747847773,0.7212307473098963,1.56682,0.32814432968752827,1.56682
1986-11-01,0.8034545084246053,0.7288758762618007,0.6885050971788139,1.2844,0.297799193544757,1.2844
1986-12-01,0.7974066454082254,0.7480118362023739,0.6928896968957248,1.18721,0.28773809783813853,1.18721
1987-01-01,0.7913453626313206,0.748475102198387,0.7466915204912922,1.36488,0.3062818494997382,1.36488
1987-02-01,0.7941141646486952,0.7723900166241466,0.8712764690000042,1.91431,0.3675260112942501,1.91431
