t,z,O,R,I,demand,S
138,1.5399648187919457,0.14612214765100606,0.6278382550335561,0.9281791946308725,0.9215375838926176,0.604206711409396
139,1.5972519865771804,0.24189261744966245,0.7273040268456359,0.9349342281879193,0.9060785234899331,0.6036939597315436
140,1.6560987181208047,0.3680637583892637,0.8399973154362419,0.9482348993288592,0.8895342281879197,0.6064825503355705
141,1.7181624161073814,0.19856778523490265,0.8168087248322152,0.9427865771812082,0.8708637583892621,0.609206711409396
142,1.7820663557046965,0.09541543624161167,0.6157033557047058,0.9344067114093962,0.8510067114093964,0.6083013422818793
143,1.847708409395972,0.05536174496644087,0.26897114093959007,0.9239073825503352,0.8300342281879199,0.6042536912751677
144,1.9169791744966433,0.16731812080536737,0.6585926174496584,0.939122818791946,0.8069785234899333,0.6069114093959731
145,1.9882646107382538,0.15321208053691515,0.8527026845637582,0.9431456375838927,0.7827590604026851,0.6095691275167784
146,2.061487946308724,0.02165369127516792,0.8636033557046972,0.9367442953020133,0.7574228187919466,0.6122268456375838
147,2.1388016308724827,0.007169127516778614,0.9530355704697981,0.9411295302013423,0.7299818791946311,0.6148845637583892
148,2.2183203489932883,0.05090604026845606,0.9549845637583895,0.9419912751677852,0.7014671140939599,0.6174751677852349
149,2.3,0.1517,0.8712,0.9394,0.6719,0.62
