t,O,R,I,Cap,demand,Sigma,Sigma_symbolic,S,V,C,intervention,delta_C,threshold_value,threshold_hit,cap_scale_used,demand_to_cap_ratio,S_is_observed,step
193,0.342685846780127,0.5897259044944801,0.4769755946950927,96.39234180742294,0.657314153219873,0.0,0.0,0.0,1.0,11.114796478591302,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,193
194,0.3330049679775401,0.5882481196234138,0.468083323039519,91.6926297518067,0.6669950320224599,0.0,0.0,0.0,1.0,10.9947964785913,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,194
195,0.4573116127902403,0.5915174782110432,0.448476329749722,121.31635067389601,0.5426883872097596,0.0,0.0,0.0,1.0,10.8747964785913,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,195
196,0.4546464023335723,0.5936111887675232,0.4322820115779838,116.66564885136948,0.5453535976664277,0.0,0.0,0.0,1.0,10.754796478591299,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,196
197,0.4197598543094201,0.5989101121926454,0.4173593800359833,104.92348931356518,0.5802401456905799,0.0,0.0,0.0,1.0,10.634796478591298,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,197
198,0.4015795046161963,0.6029484253071559,0.3892267101032898,94.24413665770705,0.5984204953838037,0.0,0.0,0.0,1.0,10.514796478591297,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,198
199,0.4302556434825341,0.6066446061673139,0.3427869055034963,89.4715867520871,0.5697443565174659,0.0,0.0,0.0,1.0,10.394796478591296,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,199
200,0.2966072319697277,0.6109333121623766,0.3090896128096905,56.00927522911191,0.7033927680302723,0.0,0.0,0.0,1.0,10.274796478591295,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,200
201,0.2473034839710692,0.6187148777832951,0.2881315161300205,44.08710264824559,0.7526965160289307,0.0,0.0,0.0,1.0,10.154796478591294,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,201
202,0.2609936407572675,0.6242602263460357,0.2500282133922394,40.736584063641004,0.7390063592427325,0.0,0.0,0.0,1.0,10.034796478591293,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,202
203,0.1190564136306913,0.6091483176153234,0.2263763709278942,16.417496732662748,0.8809435863693087,0.0,0.0,0.0,1.0,9.914796478591292,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,203
204,0.0916530392182315,0.5919555973392072,0.1632297701688812,8.855954393700063,0.9083469607817684,0.0,0.0,0.0,1.0,9.79479647859129,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,204
205,0.0798322926079884,0.5739326313833155,0.13483594444978,6.177961542498399,0.9201677073920116,0.0,0.0,0.0,1.0,9.67479647859129,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,205
206,0.05305054474217,0.5552892307328117,0.0945464111621347,2.7851856373958506,0.94694945525783,0.0,0.0,0.0,1.0,9.554796478591289,real,-0.120000000000001,-0.07560000000000006,0,1000.0,0.9,True,206
207,0.01,0.5274018993745664,0.0518493835007931,0.27345463339718584,1.0,0.7265453666028141,0.7265453666028141,0.0,0.0,9.554796478591289,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,207
208,0.01,0.5051144478372273,0.01,0.05051144478372273,1.0,0.9494885552162773,0.9494885552162773,0.0,0.0,9.554796478591289,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,208
209,0.01,0.4828689039899679,0.01,0.048286890398996786,1.0,0.9517131096010032,0.9517131096010032,0.0,0.0,9.554796478591289,real,0.0,-0.07560000000000006,1,1000.0,0.9,True,209
210,0.01,0.4599119454508278,0.01,0.045991194545082784,1.0,0.9540088054549172,0.9540088054549172,0.0,0.0,9.554796478591289,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,210
211,0.01,0.4201358495791338,0.01,0.04201358495791339,1.0,0.9579864150420866,0.9579864150420866,0.0,0.0,9.554796478591289,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,211
212,0.01,0.3836423558493397,0.01,0.03836423558493397,1.0,0.961635764415066,0.961635764415066,0.0,0.0,9.554796478591289,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,212
213,0.01,0.3663857018110984,0.01,0.036638570181109845,1.0,0.9633614298188902,0.9633614298188902,0.0,0.0,9.554796478591289,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,213
214,0.01,0.352518107971677,0.01,0.03525181079716771,1.0,0.9647481892028323,0.9647481892028323,0.0,0.0,9.554796478591289,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,214
215,0.01,0.3441791003342641,0.01,0.03441791003342641,1.0,0.9655820899665736,0.9655820899665736,0.0,0.0,9.554796478591289,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,215
216,0.01,0.3281860184008539,0.01,0.032818601840085386,1.0,0.9671813981599147,0.9671813981599147,0.0,0.0,9.554796478591289,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,216
217,0.01,0.300815483329839,0.0701158392873411,0.21091930084298824,1.0,0.7890806991570117,0.7890806991570117,0.0,0.0,9.554796478591289,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,217
218,0.01,0.2782202178052344,0.1569248146333522,0.43659656106337286,1.0,0.5634034389366271,0.5634034389366271,0.0,0.0,9.554796478591289,real,0.0,-0.07560000000000006,0,1000.0,0.9,True,218
219,0.01,0.2564813519338972,0.2284570279122732,0.5859496737773993,1.0,0.41405032622260074,0.41405032622260074,0.0,0.15204255099915043,9.53655137247139,real,-0.018245106119898935,-0.07560000000000006,0,1000.0,0.9,True,219
